Report Number,Date Reported,Date of Occurance,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date and Time of Case Closed,Case Status,Crime Occurred,Age Group
3835,10 June 2020,08 June 2020,13:48:00,Bangalore,158,Traffic Violation,68,M,Knife,Traffic Fatality,4,No,,Open,Afternoon,Senior Citizen
3836,09 June 2020,08 June 2020,11:40:00,Nashik,536,Firearm Offense,25,M,Firearm,Fire Accident,10,Yes,21-06-2020 11:00,Closed,Morning,Adult
3837,09 June 2020,08 June 2020,04:43:00,Kanpur,587,Kidnapping,73,F,Poison,Other Crime,12,Yes,16-08-2020 14:00,Closed,Night,Senior Citizen
3838,11 June 2020,08 June 2020,03:45:00,Hyderabad,299,Vehicle - Stolen,35,F,Firearm,Violent Crime,12,Yes,03-08-2020 05:00,Closed,Night,Adult
3839,11 June 2020,08 June 2020,23:45:00,Kalyan,233,Extortion,40,F,Firearm,Other Crime,14,Yes,21-08-2020 16:00,Closed,Evening,Adult
3840,11 June 2020,08 June 2020,02:58:00,Jaipur,179,Extortion,60,M,Firearm,Other Crime,12,Yes,06-07-2020 21:00,Closed,Night,Senior Citizen
3841,10 June 2020,09 June 2020,11:42:00,Chennai,215,Identity Theft,23,M,Other,Violent Crime,10,No,,Open,Morning,Adult
3842,11 June 2020,09 June 2020,21:01:00,Patna,488,Cybercrime,75,M,Other,Other Crime,13,No,,Open,Evening,Senior Citizen
3843,10 June 2020,09 June 2020,09:54:00,Hyderabad,195,Sexual Assault,17,F,Blunt Object,Violent Crime,4,Yes,04-10-2021 19:00,Closed,Morning,Teenager
3844,09 June 2020,09 June 2020,16:26:00,Kolkata,304,Robbery,19,F,Knife,Violent Crime,2,No,,Open,Evening,Teenager
3845,10 June 2020,09 June 2020,12:30:00,Kolkata,462,Vandalism,19,F,Knife,Other Crime,17,Yes,14-07-2020 18:00,Closed,Afternoon,Teenager
3846,11 June 2020,09 June 2020,15:51:00,Surat,543,Drug Offense,20,F,Knife,Other Crime,14,Yes,28-08-2020 04:00,Closed,Afternoon,Adult
3847,10 June 2020,09 June 2020,04:55:00,Visakhapatnam,104,Firearm Offense,19,F,Poison,Fire Accident,7,Yes,29-07-2020 04:00,Closed,Night,Teenager
3848,11 June 2020,09 June 2020,21:10:00,Hyderabad,205,Cybercrime,10,M,Knife,Other Crime,4,No,,Open,Evening,Child
3849,09 June 2020,09 June 2020,06:53:00,Bangalore,448,Cybercrime,23,F,Blunt Object,Other Crime,19,Yes,04-09-2020 18:00,Closed,Morning,Adult
3850,12 June 2020,09 June 2020,22:53:00,Kolkata,144,Homicide,69,F,Other,Other Crime,7,No,,Open,Evening,Senior Citizen
3851,11 June 2020,09 June 2020,03:10:00,Nashik,228,Firearm Offense,49,F,Knife,Fire Accident,2,Yes,26-08-2020 06:00,Closed,Night,Adult
3852,11 June 2020,09 June 2020,02:25:00,Kolkata,152,Robbery,51,F,Poison,Violent Crime,7,No,,Open,Night,Senior Citizen
3853,11 June 2020,09 June 2020,18:43:00,Srinagar,536,Sexual Assault,35,M,Firearm,Violent Crime,16,Yes,24-10-2021 22:00,Closed,Evening,Adult
3854,12 June 2020,09 June 2020,00:42:00,Ahmedabad,284,Extortion,53,F,None,Other Crime,11,No,,Open,Night,Senior Citizen
3855,12 June 2020,09 June 2020,11:33:00,Delhi,194,Burglary,39,F,Knife,Other Crime,7,Yes,14-10-2020 00:00,Closed,Morning,Adult
3856,12 June 2020,09 June 2020,11:09:00,Bangalore,490,Assault,52,F,Poison,Violent Crime,18,No,,Open,Morning,Senior Citizen
3857,10 June 2020,09 June 2020,00:21:00,Bhopal,224,Fraud,71,F,Blunt Object,Other Crime,3,Yes,03-07-2020 17:00,Closed,Night,Senior Citizen
3858,11 June 2020,09 June 2020,19:54:00,Hyderabad,555,Traffic Violation,34,F,Poison,Traffic Fatality,6,Yes,16-06-2020 20:00,Closed,Evening,Adult
3859,10 June 2020,09 June 2020,06:09:00,Kolkata,493,Fraud,42,M,Explosives,Other Crime,18,Yes,03-09-2020 02:00,Closed,Morning,Adult
3860,12 June 2020,09 June 2020,13:45:00,Nagpur,156,Fraud,52,F,Knife,Other Crime,11,Yes,25-07-2020 01:00,Closed,Afternoon,Senior Citizen
3861,10 June 2020,09 June 2020,14:11:00,Ahmedabad,469,Burglary,20,F,Firearm,Other Crime,11,No,,Open,Afternoon,Adult
3862,11 June 2020,09 June 2020,08:01:00,Agra,322,Counterfeiting,74,F,Explosives,Other Crime,9,Yes,20-08-2020 12:00,Closed,Morning,Senior Citizen
3863,10 June 2020,09 June 2020,20:04:00,Delhi,405,Shoplifting,13,M,Blunt Object,Other Crime,14,Yes,14-08-2020 23:00,Closed,Evening,Teenager
3864,10 June 2020,09 June 2020,21:32:00,Bangalore,442,Shoplifting,56,M,None,Other Crime,9,Yes,16-07-2020 17:00,Closed,Evening,Senior Citizen
3865,10 June 2020,10 June 2020,11:58:00,Pune,302,Traffic Violation,44,M,Poison,Traffic Fatality,14,Yes,18-06-2020 04:00,Closed,Morning,Adult
3866,11 June 2020,10 June 2020,14:40:00,Delhi,460,Robbery,75,M,Other,Violent Crime,15,No,,Open,Afternoon,Senior Citizen
3867,11 June 2020,10 June 2020,17:33:00,Kolkata,158,Drug Offense,43,F,Firearm,Other Crime,9,No,,Open,Evening,Adult
3868,10 June 2020,10 June 2020,04:24:00,Jaipur,102,Kidnapping,34,M,None,Other Crime,3,No,,Open,Night,Adult
3869,12 June 2020,10 June 2020,05:11:00,Ahmedabad,274,Domestic Violence,67,F,None,Violent Crime,8,Yes,23-06-2020 04:00,Closed,Night,Senior Citizen
3870,10 June 2020,10 June 2020,11:26:00,Delhi,588,Fraud,59,M,Firearm,Other Crime,7,No,,Open,Morning,Senior Citizen
3871,13 June 2020,10 June 2020,06:24:00,Bangalore,190,Firearm Offense,24,F,Poison,Fire Accident,11,No,,Open,Morning,Adult
3872,11 June 2020,10 June 2020,18:21:00,Pune,200,Kidnapping,10,F,None,Other Crime,4,Yes,01-07-2020 15:00,Closed,Evening,Child
3873,12 June 2020,10 June 2020,10:12:00,Bangalore,146,Robbery,67,F,Firearm,Violent Crime,10,Yes,30-09-2020 20:00,Closed,Morning,Senior Citizen
3874,12 June 2020,10 June 2020,03:13:00,Indore,328,Assault,13,F,Knife,Violent Crime,5,No,,Open,Night,Teenager
3875,11 June 2020,10 June 2020,12:48:00,Bangalore,293,Drug Offense,21,F,Other,Other Crime,3,No,,Open,Afternoon,Adult
3876,11 June 2020,10 June 2020,03:33:00,Ahmedabad,401,Shoplifting,59,M,Blunt Object,Other Crime,16,Yes,30-06-2020 17:00,Closed,Night,Senior Citizen
3877,12 June 2020,10 June 2020,05:45:00,Indore,248,Burglary,39,M,Blunt Object,Other Crime,15,Yes,26-09-2020 14:00,Closed,Night,Adult
3878,13 June 2020,10 June 2020,08:26:00,Nagpur,364,Traffic Violation,52,F,Knife,Traffic Fatality,4,No,,Open,Morning,Senior Citizen
3879,12 June 2020,10 June 2020,22:20:00,Ahmedabad,261,Sexual Assault,41,F,Explosives,Violent Crime,5,Yes,14-07-2021 15:00,Closed,Evening,Adult
3880,12 June 2020,10 June 2020,05:51:00,Bangalore,445,Arson,54,F,Knife,Fire Accident,19,No,,Open,Night,Senior Citizen
3881,12 June 2020,10 June 2020,02:25:00,Bangalore,354,Robbery,36,M,Knife,Violent Crime,11,Yes,25-09-2020 19:00,Closed,Night,Adult
3882,12 June 2020,10 June 2020,11:35:00,Hyderabad,455,Extortion,22,F,Firearm,Other Crime,7,Yes,25-08-2020 21:00,Closed,Morning,Adult
3883,13 June 2020,10 June 2020,21:16:00,Delhi,192,Identity Theft,30,F,Knife,Violent Crime,15,No,,Open,Evening,Adult
3884,11 June 2020,10 June 2020,12:41:00,Lucknow,346,Vehicle - Stolen,22,F,None,Violent Crime,8,No,,Open,Afternoon,Adult
3885,13 June 2020,10 June 2020,17:25:00,Chennai,212,Fraud,63,F,Poison,Other Crime,11,Yes,09-09-2020 01:00,Closed,Evening,Senior Citizen
3886,12 June 2020,10 June 2020,10:55:00,Kanpur,184,Drug Offense,65,F,Other,Other Crime,7,Yes,31-07-2020 11:00,Closed,Morning,Senior Citizen
3887,12 June 2020,10 June 2020,13:08:00,Bangalore,425,Vandalism,50,F,Knife,Other Crime,5,No,,Open,Afternoon,Adult
3888,13 June 2020,10 June 2020,21:02:00,Agra,241,Homicide,32,M,Blunt Object,Other Crime,4,Yes,25-05-2022 17:00,Closed,Evening,Adult
3889,11 June 2020,11 June 2020,20:14:00,Pune,113,Kidnapping,17,F,Firearm,Other Crime,10,No,,Open,Evening,Teenager
3890,13 June 2020,11 June 2020,20:34:00,Bangalore,250,Drug Offense,13,F,Knife,Other Crime,16,Yes,21-07-2020 08:00,Closed,Evening,Teenager
3891,12 June 2020,11 June 2020,03:03:00,Jaipur,304,Drug Offense,15,M,Blunt Object,Other Crime,3,No,,Open,Night,Teenager
3892,13 June 2020,11 June 2020,21:28:00,Bhopal,324,Sexual Assault,48,F,Explosives,Violent Crime,11,Yes,03-05-2021 08:00,Closed,Evening,Adult
3893,14 June 2020,11 June 2020,11:15:00,Pune,404,Drug Offense,40,F,Explosives,Other Crime,14,Yes,29-06-2020 00:00,Closed,Morning,Adult
3894,12 June 2020,11 June 2020,23:59:00,Mumbai,599,Vandalism,72,F,Firearm,Other Crime,15,Yes,30-07-2020 16:00,Closed,Evening,Senior Citizen
3895,13 June 2020,11 June 2020,11:43:00,Bangalore,526,Firearm Offense,21,M,Blunt Object,Fire Accident,16,No,,Open,Morning,Adult
3896,13 June 2020,11 June 2020,11:20:00,Ghaziabad,214,Robbery,65,F,Knife,Violent Crime,17,No,,Open,Morning,Senior Citizen
3897,12 June 2020,11 June 2020,17:20:00,Agra,452,Kidnapping,42,F,Knife,Other Crime,12,Yes,05-08-2020 13:00,Closed,Evening,Adult
3898,11 June 2020,11 June 2020,23:54:00,Kolkata,431,Illegal Possession,20,M,Other,Other Crime,15,No,,Open,Evening,Adult
3899,11 June 2020,11 June 2020,08:03:00,Kolkata,371,Public Intoxication,72,F,None,Other Crime,17,Yes,06-07-2020 18:00,Closed,Morning,Senior Citizen
3900,13 June 2020,11 June 2020,03:42:00,Lucknow,223,Extortion,15,F,Knife,Other Crime,11,No,,Open,Night,Teenager
3901,13 June 2020,11 June 2020,21:22:00,Nagpur,315,Drug Offense,22,F,Other,Other Crime,5,Yes,11-07-2020 19:00,Closed,Evening,Adult
3902,12 June 2020,11 June 2020,23:38:00,Chennai,334,Homicide,43,M,Poison,Other Crime,19,Yes,25-03-2022 17:00,Closed,Evening,Adult
3903,12 June 2020,11 June 2020,21:47:00,Kalyan,186,Identity Theft,39,F,Knife,Violent Crime,11,Yes,05-09-2020 16:00,Closed,Evening,Adult
3904,13 June 2020,11 June 2020,21:32:00,Hyderabad,599,Robbery,41,F,None,Violent Crime,17,Yes,20-10-2020 08:00,Closed,Evening,Adult
3905,11 June 2020,11 June 2020,13:23:00,Lucknow,219,Burglary,72,F,Knife,Other Crime,11,Yes,03-08-2020 17:00,Closed,Afternoon,Senior Citizen
3906,11 June 2020,11 June 2020,11:22:00,Mumbai,455,Identity Theft,16,F,Blunt Object,Violent Crime,18,Yes,22-08-2020 20:00,Closed,Morning,Teenager
3907,12 June 2020,11 June 2020,10:23:00,Mumbai,202,Kidnapping,72,F,Knife,Other Crime,6,Yes,16-08-2020 17:00,Closed,Morning,Senior Citizen
3908,14 June 2020,11 June 2020,01:20:00,Hyderabad,407,Vehicle - Stolen,13,M,None,Violent Crime,6,Yes,18-08-2020 09:00,Closed,Night,Teenager
3909,14 June 2020,11 June 2020,17:21:00,Ahmedabad,453,Counterfeiting,71,M,Explosives,Other Crime,6,Yes,13-07-2020 08:00,Closed,Evening,Senior Citizen
3910,12 June 2020,11 June 2020,02:00:00,Jaipur,136,Counterfeiting,38,F,Explosives,Other Crime,3,No,,Open,Night,Adult
3911,13 June 2020,11 June 2020,20:21:00,Delhi,392,Cybercrime,56,F,Explosives,Other Crime,9,Yes,02-08-2020 13:00,Closed,Evening,Senior Citizen
3912,12 June 2020,11 June 2020,19:06:00,Kanpur,486,Shoplifting,42,F,Explosives,Other Crime,6,No,,Open,Evening,Adult
3913,12 June 2020,12 June 2020,05:38:00,Lucknow,477,Firearm Offense,17,F,Firearm,Fire Accident,9,No,,Open,Night,Teenager
3914,13 June 2020,12 June 2020,12:08:00,Surat,493,Sexual Assault,69,F,Poison,Violent Crime,17,Yes,17-03-2021 03:00,Closed,Afternoon,Senior Citizen
3915,12 June 2020,12 June 2020,19:43:00,Pune,304,Identity Theft,41,F,Firearm,Violent Crime,6,Yes,22-07-2020 13:00,Closed,Evening,Adult
3916,12 June 2020,12 June 2020,07:07:00,Delhi,422,Extortion,54,F,None,Other Crime,6,No,,Open,Morning,Senior Citizen
3917,13 June 2020,12 June 2020,17:42:00,Varanasi,300,Extortion,76,F,Knife,Other Crime,1,No,,Open,Evening,Senior Citizen
3918,12 June 2020,12 June 2020,21:39:00,Chennai,582,Identity Theft,77,F,Explosives,Violent Crime,4,No,,Open,Evening,Senior Citizen
3919,13 June 2020,12 June 2020,11:01:00,Bangalore,331,Sexual Assault,65,M,Explosives,Violent Crime,5,Yes,18-03-2021 18:00,Closed,Morning,Senior Citizen
3920,12 June 2020,12 June 2020,12:50:00,Vasai,128,Arson,71,F,Poison,Fire Accident,3,Yes,23-06-2020 12:00,Closed,Afternoon,Senior Citizen
3921,13 June 2020,12 June 2020,21:54:00,Patna,237,Kidnapping,59,F,Other,Other Crime,3,Yes,18-08-2020 21:00,Closed,Evening,Senior Citizen
3922,12 June 2020,12 June 2020,13:57:00,Jaipur,166,Illegal Possession,72,F,Firearm,Other Crime,3,Yes,21-07-2020 23:00,Closed,Afternoon,Senior Citizen
3923,13 June 2020,12 June 2020,05:17:00,Ahmedabad,112,Illegal Possession,61,F,Blunt Object,Other Crime,11,Yes,31-08-2020 11:00,Closed,Night,Senior Citizen
3924,15 June 2020,12 June 2020,05:28:00,Bangalore,357,Homicide,40,M,Other,Other Crime,10,Yes,19-01-2021 03:00,Closed,Night,Adult
3925,13 June 2020,12 June 2020,11:23:00,Bangalore,261,Counterfeiting,29,F,Other,Other Crime,15,No,,Open,Morning,Adult
3926,14 June 2020,12 June 2020,18:50:00,Delhi,364,Sexual Assault,46,F,Other,Violent Crime,10,No,,Open,Evening,Adult
3927,13 June 2020,12 June 2020,20:49:00,Kolkata,123,Firearm Offense,42,M,Blunt Object,Fire Accident,6,Yes,25-08-2020 14:00,Closed,Evening,Adult
3928,15 June 2020,12 June 2020,04:45:00,Patna,410,Public Intoxication,57,M,Firearm,Other Crime,18,Yes,24-06-2020 05:00,Closed,Night,Senior Citizen
3929,15 June 2020,12 June 2020,02:16:00,Jaipur,249,Kidnapping,21,F,None,Other Crime,18,Yes,08-07-2020 06:00,Closed,Night,Adult
3930,13 June 2020,12 June 2020,22:15:00,Lucknow,393,Firearm Offense,51,F,Other,Fire Accident,6,Yes,09-08-2020 07:00,Closed,Evening,Senior Citizen
3931,14 June 2020,12 June 2020,10:26:00,Bangalore,157,Public Intoxication,76,F,Knife,Other Crime,1,No,,Open,Morning,Senior Citizen
3932,15 June 2020,12 June 2020,04:56:00,Bangalore,396,Homicide,44,M,Explosives,Other Crime,16,Yes,08-09-2021 10:00,Closed,Night,Adult
3933,15 June 2020,12 June 2020,19:30:00,Chennai,533,Arson,40,F,Other,Fire Accident,6,Yes,08-07-2020 02:00,Closed,Evening,Adult
3934,13 June 2020,12 June 2020,13:42:00,Delhi,194,Counterfeiting,64,F,Blunt Object,Other Crime,7,Yes,26-07-2020 02:00,Closed,Afternoon,Senior Citizen
3935,15 June 2020,12 June 2020,14:47:00,Mumbai,316,Arson,62,M,Poison,Fire Accident,4,No,,Open,Afternoon,Senior Citizen
3936,13 June 2020,12 June 2020,06:50:00,Kanpur,116,Homicide,68,F,Blunt Object,Other Crime,6,Yes,15-11-2021 14:00,Closed,Morning,Senior Citizen
3937,13 June 2020,13 June 2020,03:16:00,Delhi,361,Shoplifting,66,F,Poison,Other Crime,11,Yes,04-09-2020 10:00,Closed,Night,Senior Citizen
3938,15 June 2020,13 June 2020,18:38:00,Agra,366,Illegal Possession,61,F,Firearm,Other Crime,14,Yes,25-07-2020 14:00,Closed,Evening,Senior Citizen
3939,13 June 2020,13 June 2020,06:12:00,Mumbai,540,Domestic Violence,13,M,Firearm,Violent Crime,12,Yes,19-08-2020 04:00,Closed,Morning,Teenager
3940,13 June 2020,13 June 2020,17:26:00,Bhopal,518,Cybercrime,33,F,Other,Other Crime,7,No,,Open,Evening,Adult
3941,15 June 2020,13 June 2020,12:35:00,Agra,394,Firearm Offense,70,F,Explosives,Fire Accident,12,Yes,27-07-2020 13:00,Closed,Afternoon,Senior Citizen
3942,15 June 2020,13 June 2020,12:44:00,Mumbai,336,Burglary,13,F,None,Other Crime,8,Yes,21-11-2020 06:00,Closed,Afternoon,Teenager
3943,15 June 2020,13 June 2020,10:50:00,Mumbai,282,Robbery,14,F,Other,Violent Crime,9,No,,Open,Morning,Teenager
3944,15 June 2020,13 June 2020,05:54:00,Mumbai,305,Arson,33,F,None,Fire Accident,15,Yes,09-07-2020 08:00,Closed,Night,Adult
3945,15 June 2020,13 June 2020,22:49:00,Bangalore,181,Homicide,77,F,None,Other Crime,14,Yes,18-02-2021 22:00,Closed,Evening,Senior Citizen
3946,14 June 2020,13 June 2020,16:54:00,Mumbai,279,Firearm Offense,72,F,Other,Fire Accident,3,Yes,12-07-2020 04:00,Closed,Evening,Senior Citizen
3947,13 June 2020,13 June 2020,12:08:00,Chennai,457,Vehicle - Stolen,73,F,Knife,Violent Crime,14,No,,Open,Afternoon,Senior Citizen
3948,15 June 2020,13 June 2020,01:52:00,Indore,588,Robbery,34,M,Knife,Violent Crime,12,Yes,17-08-2020 02:00,Closed,Night,Adult
3949,15 June 2020,13 June 2020,19:24:00,Visakhapatnam,568,Public Intoxication,41,F,Poison,Other Crime,11,Yes,01-07-2020 20:00,Closed,Evening,Adult
3950,14 June 2020,13 June 2020,01:57:00,Nagpur,179,Cybercrime,64,F,Other,Other Crime,4,Yes,30-08-2020 13:00,Closed,Night,Senior Citizen
3951,14 June 2020,13 June 2020,11:19:00,Kanpur,353,Arson,60,M,None,Fire Accident,7,Yes,26-07-2020 13:00,Closed,Morning,Senior Citizen
3952,15 June 2020,13 June 2020,20:32:00,Delhi,363,Domestic Violence,39,F,Firearm,Violent Crime,14,No,,Open,Evening,Adult
3953,14 June 2020,13 June 2020,09:39:00,Pune,215,Firearm Offense,61,F,Poison,Fire Accident,18,Yes,03-09-2020 23:00,Closed,Morning,Senior Citizen
3954,14 June 2020,13 June 2020,01:31:00,Patna,105,Fraud,60,F,Knife,Other Crime,9,No,,Open,Night,Senior Citizen
3955,15 June 2020,13 June 2020,02:01:00,Pune,535,Robbery,77,F,Other,Violent Crime,11,Yes,28-11-2020 17:00,Closed,Night,Senior Citizen
3956,15 June 2020,13 June 2020,08:52:00,Jaipur,591,Arson,33,F,None,Fire Accident,15,Yes,08-07-2020 16:00,Closed,Morning,Adult
3957,13 June 2020,13 June 2020,14:28:00,Bangalore,500,Robbery,38,F,None,Violent Crime,18,Yes,09-08-2020 21:00,Closed,Afternoon,Adult
3958,16 June 2020,13 June 2020,18:10:00,Delhi,124,Homicide,22,F,Other,Other Crime,15,Yes,27-05-2021 12:00,Closed,Evening,Adult
3959,14 June 2020,13 June 2020,21:54:00,Bangalore,319,Arson,20,F,None,Fire Accident,13,Yes,22-07-2020 21:00,Closed,Evening,Adult
3960,15 June 2020,13 June 2020,01:44:00,Bangalore,182,Firearm Offense,24,M,None,Fire Accident,2,No,,Open,Night,Adult
3961,16 June 2020,14 June 2020,18:34:00,Mumbai,292,Sexual Assault,25,F,Other,Violent Crime,2,Yes,11-07-2021 15:00,Closed,Evening,Adult
3962,16 June 2020,14 June 2020,04:52:00,Delhi,228,Vandalism,43,M,Poison,Other Crime,12,No,,Open,Night,Adult
3963,16 June 2020,14 June 2020,21:16:00,Pune,262,Identity Theft,29,F,Explosives,Violent Crime,11,No,,Open,Evening,Adult
3964,14 June 2020,14 June 2020,17:34:00,Hyderabad,165,Robbery,14,M,Knife,Violent Crime,11,Yes,16-09-2020 08:00,Closed,Evening,Teenager
3965,14 June 2020,14 June 2020,21:24:00,Chennai,259,Domestic Violence,37,F,Blunt Object,Violent Crime,12,Yes,26-07-2020 08:00,Closed,Evening,Adult
3966,14 June 2020,14 June 2020,13:26:00,Mumbai,205,Drug Offense,20,M,Firearm,Other Crime,8,Yes,19-08-2020 15:00,Closed,Afternoon,Adult
3967,15 June 2020,14 June 2020,20:15:00,Jaipur,233,Drug Offense,30,F,Knife,Other Crime,8,Yes,19-07-2020 04:00,Closed,Evening,Adult
3968,16 June 2020,14 June 2020,05:39:00,Hyderabad,529,Vandalism,21,F,None,Other Crime,12,Yes,07-08-2020 03:00,Closed,Night,Adult
3969,16 June 2020,14 June 2020,01:22:00,Varanasi,217,Kidnapping,71,M,None,Other Crime,19,No,,Open,Night,Senior Citizen
3970,15 June 2020,14 June 2020,05:28:00,Ludhiana,277,Illegal Possession,30,F,None,Other Crime,15,No,,Open,Night,Adult
3971,17 June 2020,14 June 2020,08:24:00,Bangalore,108,Domestic Violence,19,F,Blunt Object,Violent Crime,10,No,,Open,Morning,Teenager
3972,16 June 2020,14 June 2020,09:21:00,Mumbai,443,Domestic Violence,76,F,Knife,Violent Crime,17,No,,Open,Morning,Senior Citizen
3973,16 June 2020,14 June 2020,15:06:00,Mumbai,253,Robbery,30,M,Firearm,Violent Crime,15,Yes,29-07-2020 02:00,Closed,Afternoon,Adult
3974,16 June 2020,14 June 2020,12:40:00,Delhi,405,Firearm Offense,41,F,Poison,Fire Accident,18,No,,Open,Afternoon,Adult
3975,17 June 2020,14 June 2020,16:29:00,Jaipur,411,Burglary,68,M,Other,Other Crime,1,Yes,16-11-2020 13:00,Closed,Evening,Senior Citizen
3976,16 June 2020,14 June 2020,08:07:00,Kolkata,173,Shoplifting,40,F,None,Other Crime,8,No,,Open,Morning,Adult
3977,16 June 2020,14 June 2020,03:09:00,Kolkata,490,Robbery,33,F,Knife,Violent Crime,11,Yes,02-12-2020 01:00,Closed,Night,Adult
3978,16 June 2020,14 June 2020,03:58:00,Mumbai,324,Shoplifting,21,F,Explosives,Other Crime,1,Yes,08-08-2020 19:00,Closed,Night,Adult
3979,15 June 2020,14 June 2020,15:16:00,Bangalore,249,Traffic Violation,48,F,Other,Traffic Fatality,9,No,,Open,Afternoon,Adult
3980,15 June 2020,14 June 2020,12:53:00,Delhi,140,Homicide,58,F,Other,Other Crime,8,Yes,24-03-2022 16:00,Closed,Afternoon,Senior Citizen
3981,17 June 2020,14 June 2020,16:36:00,Hyderabad,532,Illegal Possession,19,M,Other,Other Crime,9,Yes,08-09-2020 04:00,Closed,Evening,Teenager
3982,15 June 2020,14 June 2020,18:10:00,Thane,504,Vandalism,10,F,Other,Other Crime,4,Yes,27-07-2020 21:00,Closed,Evening,Child
3983,15 June 2020,14 June 2020,01:17:00,Visakhapatnam,165,Burglary,68,F,Explosives,Other Crime,12,No,,Open,Night,Senior Citizen
3984,17 June 2020,14 June 2020,12:08:00,Bangalore,288,Illegal Possession,25,F,Firearm,Other Crime,16,No,,Open,Afternoon,Adult
3985,16 June 2020,15 June 2020,06:20:00,Kolkata,301,Firearm Offense,72,F,Blunt Object,Fire Accident,8,No,,Open,Morning,Senior Citizen
3986,16 June 2020,15 June 2020,12:39:00,Delhi,426,Assault,50,F,Other,Violent Crime,7,Yes,26-08-2020 11:00,Closed,Afternoon,Adult
3987,16 June 2020,15 June 2020,19:46:00,Kanpur,313,Sexual Assault,28,M,Other,Violent Crime,9,Yes,04-12-2021 00:00,Closed,Evening,Adult
3988,15 June 2020,15 June 2020,10:36:00,Delhi,301,Counterfeiting,60,F,Blunt Object,Other Crime,3,Yes,11-07-2020 16:00,Closed,Morning,Senior Citizen
3989,15 June 2020,15 June 2020,13:23:00,Ahmedabad,197,Shoplifting,39,F,Blunt Object,Other Crime,19,Yes,29-06-2020 15:00,Closed,Afternoon,Adult
3990,17 June 2020,15 June 2020,12:38:00,Nagpur,504,Extortion,69,M,Firearm,Other Crime,6,Yes,16-07-2020 14:00,Closed,Afternoon,Senior Citizen
3991,17 June 2020,15 June 2020,13:09:00,Chennai,443,Cybercrime,26,M,Explosives,Other Crime,17,No,,Open,Afternoon,Adult
3992,17 June 2020,15 June 2020,01:39:00,Ahmedabad,139,Cybercrime,71,F,Knife,Other Crime,13,Yes,05-08-2020 21:00,Closed,Night,Senior Citizen
3993,16 June 2020,15 June 2020,03:07:00,Lucknow,341,Public Intoxication,19,F,Poison,Other Crime,8,Yes,09-07-2020 18:00,Closed,Night,Teenager
3994,17 June 2020,15 June 2020,22:49:00,Kanpur,458,Counterfeiting,46,F,Knife,Other Crime,12,Yes,17-08-2020 05:00,Closed,Evening,Adult
3995,18 June 2020,15 June 2020,08:58:00,Lucknow,151,Fraud,35,M,Blunt Object,Other Crime,11,No,,Open,Morning,Adult
3996,17 June 2020,15 June 2020,23:44:00,Surat,296,Traffic Violation,14,F,Poison,Traffic Fatality,10,Yes,28-06-2020 13:00,Closed,Evening,Teenager
3997,17 June 2020,15 June 2020,18:46:00,Hyderabad,223,Identity Theft,70,M,Firearm,Violent Crime,8,No,,Open,Evening,Senior Citizen
3998,18 June 2020,15 June 2020,18:08:00,Visakhapatnam,289,Fraud,47,F,Blunt Object,Other Crime,19,Yes,04-09-2020 02:00,Closed,Evening,Adult
3999,16 June 2020,15 June 2020,01:45:00,Delhi,551,Extortion,31,F,Explosives,Other Crime,7,No,,Open,Night,Adult
4000,15 June 2020,15 June 2020,01:33:00,Faridabad,168,Illegal Possession,30,F,Knife,Other Crime,14,No,,Open,Night,Adult
4001,17 June 2020,15 June 2020,20:32:00,Bhopal,216,Sexual Assault,79,M,Other,Violent Crime,11,No,,Open,Evening,Senior Citizen
4002,17 June 2020,15 June 2020,23:44:00,Ahmedabad,126,Fraud,16,F,Knife,Other Crime,2,No,,Open,Evening,Teenager
4003,17 June 2020,15 June 2020,10:44:00,Kolkata,563,Traffic Violation,35,M,Explosives,Traffic Fatality,17,No,,Open,Morning,Adult
4004,18 June 2020,15 June 2020,19:17:00,Bangalore,104,Extortion,56,F,Blunt Object,Other Crime,12,No,,Open,Evening,Senior Citizen
4005,17 June 2020,15 June 2020,04:53:00,Kolkata,483,Vehicle - Stolen,39,F,Other,Violent Crime,8,Yes,28-06-2020 18:00,Closed,Night,Adult
4006,16 June 2020,15 June 2020,15:04:00,Mumbai,565,Robbery,20,M,Poison,Violent Crime,8,No,,Open,Afternoon,Adult
4007,17 June 2020,15 June 2020,17:57:00,Kolkata,351,Burglary,52,F,Firearm,Other Crime,12,Yes,01-11-2020 19:00,Closed,Evening,Senior Citizen
4008,17 June 2020,15 June 2020,02:12:00,Ludhiana,568,Counterfeiting,52,F,Blunt Object,Other Crime,16,Yes,21-07-2020 11:00,Closed,Night,Senior Citizen
4009,18 June 2020,16 June 2020,02:17:00,Mumbai,256,Counterfeiting,33,M,Firearm,Other Crime,19,Yes,01-08-2020 11:00,Closed,Night,Adult
4010,17 June 2020,16 June 2020,15:10:00,Mumbai,215,Domestic Violence,66,M,Blunt Object,Violent Crime,8,No,,Open,Afternoon,Senior Citizen
4011,17 June 2020,16 June 2020,10:23:00,Delhi,315,Robbery,76,F,None,Violent Crime,6,Yes,28-08-2020 22:00,Closed,Morning,Senior Citizen
4012,16 June 2020,16 June 2020,04:44:00,Bhopal,454,Arson,31,F,Knife,Fire Accident,15,No,,Open,Night,Adult
